time,high,low,open,close,volumefrom,volumeto
1479513600,755.34,737.44,746.96,747.89,25625.82,19276573.28
1479600000,752.26,712.77,747.89,728.51,47423.27,34876785.19
1479686400,744.33,726.55,728.51,736.19,32508.2,24010681.87
1479772800,754.01,730.62,736.19,749.34,44441.44,33225195.21
1479859200,750.93,731.34,749.34,741.07,37869.33,28258203.98
1479945600,744.24,726.19,741.07,735.31,37239.41,27531777.52
1480032000,741.25,728.97,735.31,740.39,28846.87,21299510.69
1480118400,740.96,725.62,740.39,734.14,22578.17,16682481.58
1480204800,738.29,727.11,734.14,729.42,21354.15,15735824.63
1480291200,738.1,727.74,729.42,733.3,34117.31,25153838.93
1480377600,737.04,727.78,733.3,732.56,32567.83,24030304.1
1480464000,745.39,730.57,732.56,742.49,39277.45,29210351.41
1480550400,755.48,741.08,742.49,752.63,54029.19,40690942.17
1480636800,779.02,752.25,752.63,770.94,63217.85,48893613.64
1480723200,772.32,755.81,770.94,764.24,38445.54,30234128.1
1480809600,769.23,758.8,764.24,766.39,19163.97,14755120.48
1480896000,769.18,746.01,766.39,754.34,51164.97,39082688.28
1480982400,762.48,750.91,754.34,758.21,33430.33,25497771.6
1481068800,769.02,754.27,758.21,765.56,34864.8,26755412.58
1481155200,773.41,761.17,765.56,768.49,28780.25,22208497.22
1481241600,773.48,765.03,768.49,770.48,24176.98,18722048.47
1481328000,776.96,769.19,770.48,774,18017.98,14049110.07
1481414400,774.16,763,774,767.91,17140.02,13269086.38
1481500800,781.26,767.86,767.91,778.47,28759.72,22442991.37
1481587200,790.33,767.77,778.47,778.74,33108.65,25894856.06
1481673600,780.77,771.01,778.74,776.5,24782.47,19326375.41
1481760000,780.27,773.12,776.5,775.21,26224.24,20452116.66
1481846400,783.94,773.31,775.21,782.05,27607.57,21650384.64
1481932800,791.57,779.36,782.05,787.17,23581.31,18648778.51
1482019200,791.26,783.8,787.17,789.01,14532.68,11525747.48
1482105600,793.73,786.31,789.01,789.79,25460.54,20238681.94
1482192000,800.02,787.12,789.79,799.1,34480.19,27406319.09
1482278400,833.13,795.98,799.1,829.21,65293.55,53411082.07
1482364800,874.68,828.87,829.21,860.15,70557.59,60511618.45
1482451200,920.26,858.04,860.15,917.17,102224.08,91802931.23
1482537600,920.49,880.79,917.17,891.07,46030.07,41576781.41
1482624000,895.24,851.42,891.07,891.07,42483.29,37173377.51
1482710400,909.32,885.88,891.07,898.38,38787.58,35002753.4
1482796800,937.91,893.38,898.38,925.78,49691.61,45966615.06
1482883200,974.51,925.49,925.78,972.17,77285.8,73811803.99
1482969600,982.57,949.23,972.17,971.08,61124.62,59226667.89
1483056000,971.59,927.4,971.08,959.04,70839.81,67449149.3
